NC_016147|YP_004929817.1	NC_017248|YP_005602967.1	1.29
NC_016147|YP_004930100.1	NC_017248|YP_005603914.1	0.845
NC_016147|YP_004930999.1	NC_017248|YP_005603469.1	0.62
NC_016147|YP_004930867.1	NC_017248|YP_005604887.1	0.854
NC_016147|YP_004931622.1	NC_017248|YP_005603894.1	1.727
NC_016147|YP_004930852.1	NC_017248|YP_005603295.1	1.932
NC_016147|YP_004931246.1	NC_017248|YP_005604003.1	0.591
NC_016147|YP_004930505.1	NC_017248|YP_005602845.1	0.767
NC_016147|YP_004931294.1	NC_017248|YP_005603849.1	0.762
NC_016147|YP_004928827.1	NC_017248|YP_005604657.1	2.313
NC_016147|YP_004930869.1	NC_017248|YP_005602973.1	1.674
NC_016147|YP_004930568.1	NC_017248|YP_005604132.1	0.124
NC_016147|YP_004929751.1	NC_017248|YP_005604344.1	0.556
NC_016147|YP_004931102.1	NC_017248|YP_005604308.1	0.24
NC_016147|YP_004929771.1	NC_017248|YP_005604548.1	0.398
NC_016147|YP_004930103.1	NC_017248|YP_005603603.1	1.344
NC_016147|YP_004931242.1	NC_017248|YP_005603999.1	0.294
NC_016147|YP_004931551.1	NC_017248|YP_005603463.1	0.882
NC_016147|YP_004930288.1	NC_017248|YP_005604667.1	1.975
NC_016147|YP_004930151.1	NC_017248|YP_005603920.1	0.305
NC_016147|YP_004930615.1	NC_017248|YP_005602812.1	0.75
NC_016147|YP_004929167.1	NC_017248|YP_005603590.1	0.632
NC_016147|YP_004930379.1	NC_017248|YP_005603730.1	1.516
NC_016147|YP_004931513.1	NC_017248|YP_005603702.1	0.355
NC_016147|YP_004930754.1	NC_017248|YP_005603328.1	1.7
NC_016147|YP_004929447.1	NC_017248|YP_005602865.1	1.896
NC_016147|YP_004928999.1	NC_017248|YP_005603465.1	2.19
NC_016147|YP_004930865.1	NC_017248|YP_005604305.1	0.456
NC_016147|YP_004931240.1	NC_017248|YP_005603997.1	1.174
NC_016147|YP_004930460.1	NC_017248|YP_005603846.1	1.215
NC_016147|YP_004931541.1	NC_017248|YP_005604848.1	0.742
NC_016147|YP_004930856.1	NC_017248|YP_005602951.1	1.067
NC_016147|YP_004930149.1	NC_017248|YP_005603375.1	0.463
NC_016147|YP_004930632.1	NC_017248|YP_005603031.1	0.254
NC_016147|YP_004929147.1	NC_017248|YP_005603008.1	1.422
NC_016147|YP_004929563.1	NC_017248|YP_005604725.1	0.46
NC_016147|YP_004931616.1	NC_017248|YP_005603622.1	0.967
NC_016147|YP_004929119.1	NC_017248|YP_005604779.1	0.414
NC_016147|YP_004931786.1	NC_017248|YP_005603013.1	0.893
NC_016147|YP_004930123.1	NC_017248|YP_005604157.1	0.725
NC_016147|YP_004930675.1	NC_017248|YP_005603089.1	1.225
NC_016147|YP_004930575.1	NC_017248|YP_005603700.1	0.56
NC_016147|YP_004928763.1	NC_017248|YP_005603731.1	1.735
NC_016147|YP_004931567.1	NC_017248|YP_005603741.1	0.415
NC_016147|YP_004931610.1	NC_017248|YP_005603834.1	0.605
NC_016147|YP_004929674.1	NC_017248|YP_005604436.1	0.344
NC_016147|YP_004929105.1	NC_017248|YP_005603790.1	1.008
NC_016147|YP_004931626.1	NC_017248|YP_005604526.1	0.127
NC_016147|YP_004929813.1	NC_017248|YP_005604801.1	0.136
NC_016147|YP_004931244.1	NC_017248|YP_005604001.1	1.969
NC_016147|YP_004930064.1	NC_017248|YP_005603814.1	0.451
NC_016147|YP_004929489.1	NC_017248|YP_005603775.1	0.721
NC_016147|YP_004930438.1	NC_017248|YP_005604256.1	0.989
NC_016147|YP_004930671.1	NC_017248|YP_005604792.1	0.603
NC_016147|YP_004930060.1	NC_017248|YP_005603456.1	0.864
NC_016147|YP_004929107.1	NC_017248|YP_005603895.1	0.603
NC_016147|YP_004929849.1	NC_017248|YP_005603696.1	0.201
NC_016147|YP_004929244.1	NC_017248|YP_005602921.1	1.305
NC_016147|YP_004931553.1	NC_017248|YP_005604683.1	0.356
NC_016147|YP_004930066.1	NC_017248|YP_005603163.1	1.136
NC_016147|YP_004930569.1	NC_017248|YP_005603980.1	2.349
NC_016147|YP_004931494.1	NC_017248|YP_005604414.1	1.027
NC_016147|YP_004930163.1	NC_017248|YP_005603838.1	0.441
NC_016147|YP_004930171.1	NC_017248|YP_005604291.1	0.71
NC_016147|YP_004931487.1	NC_017248|YP_005604884.1	1.996
NC_016147|YP_004929867.1	NC_017248|YP_005604192.1	0.393
NC_016147|YP_004931082.1	NC_017248|YP_005604104.1	0.42
NC_016147|YP_004929412.1	NC_017248|YP_005602998.1	2.804
NC_016147|YP_004930242.1	NC_017248|YP_005604219.1	0.523
NC_016147|YP_004929577.1	NC_017248|YP_005604219.1	0.429
NC_016147|YP_004930890.1	NC_017248|YP_005604844.1	0.457
NC_016147|YP_004930440.1	NC_017248|YP_005604039.1	0.942
NC_016147|YP_004930012.1	NC_017248|YP_005604550.1	0.444
NC_016147|YP_004929763.1	NC_017248|YP_005604259.1	0.632
NC_016147|YP_004929865.1	NC_017248|YP_005604693.1	0.69
NC_016147|YP_004931812.1	NC_017248|YP_005603802.1	0.418
NC_016147|YP_004930062.1	NC_017248|YP_005604499.1	0.712
NC_016147|YP_004931303.1	NC_017248|YP_005603159.1	0.298
NC_016147|YP_004931636.1	NC_017248|YP_005604631.1	2.207
NC_016147|YP_004930068.1	NC_017248|YP_005603120.1	2.296
NC_016147|YP_004929569.1	NC_017248|YP_005603008.1	1.172
NC_016147|YP_004931416.1	NC_017248|YP_005603986.1	0.7
NC_016147|YP_004930072.1	NC_017248|YP_005603710.1	0.621
NC_016147|YP_004931612.1	NC_017248|YP_005603023.1	1.079
NC_016147|YP_004931299.1	NC_017248|YP_005603149.1	2.338
NC_016147|YP_004931412.1	NC_017248|YP_005604362.1	0.398
NC_016147|YP_004929779.1	NC_017248|YP_005603487.1	0.77
NC_016147|YP_004929686.1	NC_017248|YP_005603711.1	2.547
NC_016147|YP_004930633.1	NC_017248|YP_005604502.1	1.969
NC_016147|YP_004929394.1	NC_017248|YP_005604649.1	0.672
NC_016147|YP_004931265.1	NC_017248|YP_005604288.1	2.462
NC_016147|YP_004931537.1	NC_017248|YP_005602843.1	0.555
NC_016147|YP_004929209.1	NC_017248|YP_005603806.1	0.283
NC_016147|YP_004929475.1	NC_017248|YP_005603111.1	1.252
NC_016147|YP_004931549.1	NC_017248|YP_005603264.1	0.944
NC_016147|YP_004929873.1	NC_017248|YP_005604732.1	0.585
NC_016147|YP_004930058.1	NC_017248|YP_005603717.1	0.687
NC_016147|YP_004931395.1	NC_017248|YP_005603023.1	1.723
NC_016147|YP_004929056.1	NC_017248|YP_005604776.1	0.593
NC_016147|YP_004929975.1	NC_017248|YP_005603685.1	0.199
NC_016147|YP_004931254.1	NC_017248|YP_005604010.1	1.243
NC_016147|YP_004930781.1	NC_017248|YP_005604799.1	0.332
NC_016147|YP_004930026.1	NC_017248|YP_005603717.1	0.414
NC_016147|YP_004929008.1	NC_017248|YP_005604881.1	0.124
NC_016147|YP_004930109.1	NC_017248|YP_005603609.1	1.814
NC_016147|YP_004931703.1	NC_017248|YP_005603023.1	1.479
NC_016147|YP_004930359.1	NC_017248|YP_005603736.1	0.236
NC_016147|YP_004930844.1	NC_017248|YP_005602852.1	0.277
NC_016147|YP_004931637.1	NC_017248|YP_005604635.1	1.266
NC_016147|YP_004929471.1	NC_017248|YP_005603798.1	0.237
NC_016147|YP_004930099.1	NC_017248|YP_005603278.1	0.805
NC_016147|YP_004929898.1	NC_017248|YP_005603822.1	2.153
NC_016147|YP_004929835.1	NC_017248|YP_005604805.1	0.312
NC_016147|YP_004929096.1	NC_017248|YP_005603818.1	0.273
NC_016147|YP_004929468.1	NC_017248|YP_005604725.1	0.54
NC_016147|YP_004930892.1	NC_017248|YP_005604846.1	1.696
NC_016147|YP_004929979.1	NC_017248|YP_005603882.1	0.448
NC_016147|YP_004928830.1	NC_017248|YP_005604212.1	1.358
NC_016147|YP_004930327.1	NC_017248|YP_005604389.1	0.392
NC_016147|YP_004930533.1	NC_017248|YP_005604220.1	0.324
NC_016147|YP_004931345.1	NC_017248|YP_005604733.1	1.4
NC_016147|YP_004930165.1	NC_017248|YP_005604162.1	0.467
NC_016147|YP_004931228.1	NC_017248|YP_005603984.1	0.972
NC_016147|YP_004931415.1	NC_017248|YP_005604189.1	1.294
NC_016147|YP_004930229.1	NC_017248|YP_005602997.1	2.036
NC_016147|YP_004929863.1	NC_017248|YP_005604383.1	0.13
NC_016147|YP_004931276.1	NC_017248|YP_005603132.1	1.418
NC_016147|YP_004931729.1	NC_017248|YP_005604796.1	0.452
NC_016147|YP_004929561.1	NC_017248|YP_005603416.1	0.946
NC_016147|YP_004931671.1	NC_017248|YP_005602837.1	0.491
NC_016147|YP_004930325.1	NC_017248|YP_005603278.1	1.184
NC_016147|YP_004930503.1	NC_017248|YP_005603503.1	2.685
NC_016147|YP_004929416.1	NC_017248|YP_005603152.1	0.436
NC_016147|YP_004930360.1	NC_017248|YP_005604116.1	1.729
NC_016147|YP_004931654.1	NC_017248|YP_005604516.1	1.135
NC_016147|YP_004929020.1	NC_017248|YP_005603009.1	0.974
NC_016147|YP_004930186.1	NC_017248|YP_005604799.1	0.465
NC_016147|YP_004931216.1	NC_017248|YP_005604469.1	3.314
NC_016147|YP_004930914.1	NC_017248|YP_005603200.1	0.321
NC_016147|YP_004931385.1	NC_017248|YP_005602982.1	0.623
NC_016147|YP_004929871.1	NC_017248|YP_005603023.1	1.682
NC_016147|YP_004929434.1	NC_017248|YP_005604219.1	0.729
NC_016147|YP_004930426.1	NC_017248|YP_005604395.1	0.436
NC_016147|YP_004930559.1	NC_017248|YP_005603278.1	0.782
NC_016147|YP_004931219.1	NC_017248|YP_005603873.1	0.477
NC_016147|YP_004931650.1	NC_017248|YP_005602939.1	1.852
NC_016147|YP_004928995.1	NC_017248|YP_005603228.1	1.595
NC_016147|YP_004931361.1	NC_017248|YP_005603139.1	1.272
NC_016147|YP_004931212.1	NC_017248|YP_005603209.1	0.113
