NP_241980.1	NP_241982.1	91.5
NP_244314.1	NP_244708.1	29.4119543705
NP_242730.1	NP_244557.1	39.3010299957
NP_240955.1	NP_242339.1	158.522878745
NP_240955.1	NP_243788.1	168.397940009
NP_241969.1	NP_241970.1	83.6883753548
NP_241842.1	NP_243212.1	21.5484550065
NP_242906.1	NP_242908.1	58.3098943791
NP_242036.1	NP_243788.1	169.125905986
NP_243788.1	NP_243833.1	167.698970004
NP_244502.1	NP_244873.1	59.2218487496
NP_244520.1	NP_244521.1	135.110924375
NP_242745.1	NP_243632.1	82.7614393726
NP_241136.1	NP_242567.1	169.522878745
NP_241842.1	NP_244883.1	22.0
NP_241832.1	NP_244532.1	32.1733937431
NP_242812.1	NP_243507.1	168.397940009
NP_241302.1	NP_241635.1	41.3098943791
NP_242247.1	NP_243243.1	21.3388903526
NP_241633.1	NP_242339.1	158.522878745
NP_241059.1	NP_241086.1	84.5484550065
NP_243020.1	NP_244366.1	40.7218487496
NP_242729.1	NP_244551.1	11.8494850022
NP_241333.1	NP_241463.1	112.761439373
NP_243243.1	NP_244366.1	168.22184875
NP_241534.1	NP_244452.1	94.1989700043
NP_242430.1	NP_242822.1	66.8494850022
NP_241920.1	NP_242964.1	106.650514998
NP_241820.1	NP_244003.1	168.397940009
NP_242552.1	NP_244619.1	168.460409377
NP_241820.1	NP_242795.1	170.301029996
NP_242747.1	NP_242750.1	48.1989700043
NP_242036.1	NP_243507.1	169.125905986
NP_241282.1	NP_243020.1	40.7218487496
NP_244572.1	NP_244859.1	56.960409377
NP_242036.1	NP_244452.1	123.198970004
NP_242795.1	NP_243844.1	170.301029996
NP_242036.1	NP_243517.1	169.125905986
NP_243833.1	NP_243844.1	167.698970004
NP_241988.1	NP_244545.1	37.3979400087
NP_240955.1	NP_243517.1	168.397940009
NP_241534.1	NP_243243.1	168.22184875
NP_242693.1	NP_243141.1	82.1989700043
NP_240989.1	NP_243507.1	170.301029996
NP_241653.1	NP_242729.1	8.26143937264
NP_242036.1	NP_244432.1	169.125905986
NP_242567.1	NP_244003.1	168.0
NP_242552.1	NP_244366.1	168.22184875
NP_242567.1	NP_242795.1	170.0
NP_243338.1	NP_244619.1	168.460409377
NP_242173.1	NP_243243.1	169.522878745
NP_243517.1	NP_244366.1	168.22184875
NP_241282.1	NP_244275.1	168.22184875
NP_240909.1	NP_241816.1	10.460409377
NP_243243.1	NP_243640.1	169.349485002
NP_241200.1	NP_244285.1	63.5228787453
NP_243343.1	NP_243640.1	169.349485002
NP_240989.1	NP_242204.1	170.301029996
NP_243020.1	NP_243833.1	40.3979400087
NP_243020.1	NP_243517.1	19.3723637474
NP_241820.1	NP_244619.1	168.460409377
NP_241631.1	NP_242767.1	132.761439373
NP_241820.1	NP_242812.1	168.397940009
NP_241844.1	NP_243389.1	157.761439373
NP_241820.1	NP_242036.1	169.125905986
NP_241534.1	NP_243517.1	168.22184875
NP_242173.1	NP_244275.1	169.522878745
NP_241969.1	NP_241971.1	89.0228787453
NP_243562.1	NP_244873.1	59.2218487496
NP_241610.1	NP_244904.1	145.022878745
NP_242173.1	NP_242247.1	70.5
NP_243708.1	NP_244345.1	115.0
NP_242278.1	NP_243517.1	171.698970004
NP_241042.1	NP_242508.1	115.0
NP_241623.1	NP_242601.1	28.8494850022
NP_243507.1	NP_244619.1	168.460409377
NP_242412.1	NP_243070.1	168.22184875
NP_242049.1	NP_243640.1	169.349485002
NP_243185.1	NP_244591.1	26.6109243748
NP_241245.1	NP_244432.1	170.522878745
NP_241530.1	NP_242156.1	43.7614393726
NP_242049.1	NP_242812.1	168.397940009
NP_241534.1	NP_242247.1	45.1989700043
NP_240955.1	NP_243070.1	168.397940009
NP_242800.1	NP_242855.1	110.460409377
NP_241111.1	NP_244275.1	169.261439373
NP_244521.1	NP_244522.1	136.048455007
NP_242795.1	NP_244432.1	170.301029996
NP_242004.1	NP_244068.1	34.2218487496
NP_244572.1	NP_244860.1	168.198970004
NP_241631.1	NP_244304.1	12.6109243748
NP_244113.1	NP_244366.1	168.22184875
NP_243517.1	NP_244452.1	52.0228787453
NP_241653.1	NP_242974.1	8.11092437481
NP_240955.1	NP_244452.1	94.1109243748
NP_242278.1	NP_242567.1	171.22184875
NP_242868.1	NP_242870.1	122.0
NP_242247.1	NP_244113.1	21.3388903526
NP_242247.1	NP_243507.1	21.3388903526
NP_242508.1	NP_242761.1	115.0
NP_240955.1	NP_242204.1	168.397940009
NP_241553.1	NP_241763.1	155.110924375
NP_241136.1	NP_243507.1	170.071333752
NP_241855.1	NP_242772.1	17.2218487496
NP_242412.1	NP_243338.1	168.22184875
NP_242278.1	NP_243243.1	171.698970004
NP_242430.1	NP_242821.1	14.960409377
NP_244113.1	NP_244452.1	52.0228787453
NP_242908.1	NP_242910.1	50.8494850022
NP_241245.1	NP_242049.1	170.522878745
NP_241200.1	NP_243208.1	63.5228787453
NP_242173.1	NP_243343.1	169.522878745
NP_242339.1	NP_244452.1	41.6989700043
NP_241111.1	NP_243020.1	40.7474250108
NP_242173.1	NP_242339.1	158.071333752
NP_242173.1	NP_243507.1	169.522878745
NP_242173.1	NP_244452.1	123.659379381
NP_241228.1	NP_242881.1	116.110924375
NP_241915.1	NP_242204.1	169.15490196
NP_241664.1	NP_243168.1	41.8979400087
NP_242906.1	NP_242913.1	66.2843181179
NP_242247.1	NP_244432.1	21.3388903526
NP_241984.1	NP_242731.1	51.6989700043
NP_242247.1	NP_243343.1	21.3388903526
NP_241661.1	NP_242979.1	54.3098943791
NP_241136.1	NP_243844.1	170.071333752
NP_241245.1	NP_243788.1	170.522878745
NP_242936.1	NP_244055.1	28.5
NP_241217.1	NP_244512.1	139.698970004
NP_242173.1	NP_244432.1	169.522878745
NP_242247.1	NP_244374.1	21.3388903526
NP_243211.1	NP_244884.1	35.5228787453
NP_241282.1	NP_244452.1	94.1989700043
NP_241282.1	NP_242552.1	168.22184875
NP_242204.1	NP_242278.1	171.698970004
NP_241915.1	NP_242552.1	169.15490196
NP_242173.1	NP_243844.1	169.522878745
NP_243243.1	NP_244452.1	52.0228787453
NP_242412.1	NP_244432.1	168.22184875
NP_243821.1	NP_244663.1	66.960409377
NP_241915.1	NP_242049.1	169.15490196
NP_242204.1	NP_243833.1	167.698970004
NP_241676.1	NP_244532.1	33.2474250108
NP_244113.1	NP_244619.1	168.460409377
NP_241136.1	NP_242049.1	170.071333752
NP_241633.1	NP_243343.1	158.522878745
NP_243383.1	NP_243391.1	32.960409377
NP_241659.1	NP_244546.1	18.1989700043
NP_241820.1	NP_242278.1	171.698970004
NP_242761.1	NP_244333.1	115.0
NP_242552.1	NP_244452.1	52.0228787453
NP_243640.1	NP_244432.1	169.349485002
NP_241245.1	NP_243507.1	170.522878745
NP_240894.1	NP_241216.1	128.522878745
NP_243338.1	NP_244452.1	52.0228787453
NP_243208.1	NP_244285.1	63.5228787453
NP_242244.1	NP_244470.1	14.460409377
NP_241318.1	NP_241321.1	109.07745098
NP_242412.1	NP_244452.1	94.1989700043
NP_242247.1	NP_243338.1	21.3388903526
NP_243844.1	NP_244452.1	52.0228787453
NP_242812.1	NP_244275.1	168.397940009
NP_240989.1	NP_244113.1	170.301029996
NP_243070.1	NP_243640.1	169.349485002
NP_244310.1	NP_244546.1	18.3494850022
NP_242036.1	NP_242247.1	70.0
