NC_020238|YP_007421151.1	NC_020238|YP_007421953.1	0.084
NC_020238|YP_007420194.1	NC_020238|YP_007420199.1	0.37
NC_020238|YP_007421388.1	NC_020238|YP_007422556.1	0.757
NC_020238|YP_007420199.1	NC_020238|YP_007421295.1	1.539
NC_020238|YP_007420470.1	NC_020238|YP_007424575.1	0.514
NC_020238|YP_007420138.1	NC_020238|YP_007421326.1	0.925
NC_020238|YP_007419410.1	NC_020238|YP_007424573.1	0.381
NC_020238|YP_007420234.1	NC_020238|YP_007420386.1	0.836
NC_020238|YP_007420992.1	NC_020238|YP_007420993.1	0.747
NC_020238|YP_007421551.1	NC_020238|YP_007424868.1	0.925
NC_020238|YP_007419660.1	NC_020238|YP_007421638.1	1.215
NC_020238|YP_007421684.1	NC_020238|YP_007422772.1	0.182
NC_020238|YP_007420165.1	NC_020238|YP_007424479.1	0.303
NC_020238|YP_007422519.1	NC_020238|YP_007422868.1	0.757
NC_020238|YP_007419513.1	NC_020238|YP_007424367.1	0.956
NC_020238|YP_007419930.1	NC_020238|YP_007423832.1	0.11
NC_020238|YP_007420227.1	NC_020238|YP_007422872.1	0.626
NC_020238|YP_007419313.1	NC_020238|YP_007421388.1	0.816
NC_020238|YP_007420385.1	NC_020238|YP_007420659.1	0.411
NC_020238|YP_007420199.1	NC_020238|YP_007422870.1	1.541
NC_020238|YP_007421378.1	NC_020238|YP_007424355.1	1.894
NC_020238|YP_007419313.1	NC_020238|YP_007422556.1	0.757
NC_020238|YP_007423429.1	NC_020238|YP_007424554.1	0.77
NC_020238|YP_007419582.1	NC_020238|YP_007424027.1	1.164
NC_020238|YP_007424264.1	NC_020238|YP_007424728.1	0.302
NC_020238|YP_007421297.1	NC_020238|YP_007424852.1	0.816
NC_020238|YP_007421378.1	NC_020238|YP_007424596.1	0.148
NC_020238|YP_007423051.1	NC_020238|YP_007424867.1	1.478
NC_020238|YP_007419778.1	NC_020238|YP_007420016.1	1.41
NC_020238|YP_007419396.1	NC_020238|YP_007419891.1	0.184
NC_020238|YP_007422548.1	NC_020238|YP_007424865.1	0.265
NC_020238|YP_007419896.1	NC_020238|YP_007421517.1	0.757
