NC_000913|NP_415449.1	NC_000913|NP_415895.1	1.723
NC_000913|NP_418714.1	NC_000913|YP_588445.1	0.775
NC_000913|NP_415067.1	NC_000913|NP_418738.1	0.153
NC_000913|NP_415244.4	NC_000913|NP_417520.1	0.548
NC_000913|NP_415759.1	NC_000913|NP_415845.2	2.314
NC_000913|NP_415067.1	NC_000913|NP_418734.1	0.142
NC_000913|NP_415935.2	NC_000913|NP_416483.4	0.349
NC_000913|NP_416747.1	NC_000913|YP_001165324.1	0.293
NC_000913|NP_415458.2	NC_000913|NP_418739.1	0.099
NC_000913|NP_416724.1	NC_000913|NP_418432.1	1.687
NC_000913|NP_415510.1	NC_000913|NP_416075.1	0.455
NC_000913|NP_416407.1	NC_000913|NP_417902.1	1.664
NC_000913|NP_415066.2	NC_000913|NP_417614.1	0.089
NC_000913|NP_415098.1	NC_000913|NP_418540.1	1.217
NC_000913|NP_414798.1	NC_000913|NP_415508.1	1.633
NC_000913|NP_414894.2	NC_000913|NP_417516.3	1.123
NC_000913|NP_416337.1	NC_000913|NP_418012.1	0.363
NC_000913|NP_414996.1	NC_000913|NP_417970.1	1.678
NC_000913|NP_415938.1	NC_000913|NP_416400.1	1.083
NC_000913|NP_415956.1	NC_000913|NP_418760.1	1.26
NC_000913|NP_415568.1	NC_000913|NP_418143.2	0.077
NC_000913|NP_415424.1	NC_000913|NP_416987.1	1.152
NC_000913|NP_414854.1	NC_000913|NP_415051.1	1.195
NC_000913|NP_416983.1	NC_000913|NP_417200.1	0.467
NC_000913|NP_415340.1	NC_000913|NP_415631.1	1.241
NC_000913|NP_415145.1	NC_000913|NP_417535.1	1.775
NC_000913|NP_417338.3	NC_000913|YP_026163.2	1.123
NC_000913|NP_415041.1	NC_000913|NP_415830.2	0.096
NC_000913|NP_414907.2	NC_000913|NP_415072.2	0.875
NC_000913|NP_416161.4	NC_000913|NP_417708.1	0.797
NC_000913|NP_415041.1	NC_000913|NP_417219.1	0.902
NC_000913|NP_414828.1	NC_000913|NP_417323.2	0.137
NC_000913|NP_416068.2	NC_000913|YP_588446.1	0.203
NC_000913|NP_415090.2	NC_000913|NP_416067.2	1.039
NC_000913|NP_416598.1	NC_000913|NP_417601.1	2.058
NC_000913|NP_416009.1	NC_000913|NP_418580.2	0.143
NC_000913|NP_414674.1	NC_000913|NP_417870.1	1.285
NC_000913|NP_414779.1	NC_000913|NP_416509.1	0.542
NC_000913|NP_414809.1	NC_000913|YP_588445.1	0.848
NC_000913|NP_416408.1	NC_000913|YP_588445.1	0.835
NC_000913|NP_415429.2	NC_000913|NP_417411.2	1.275
NC_000913|NP_417596.1	NC_000913|NP_418776.1	0.789
NC_000913|NP_416601.1	NC_000913|NP_417439.4	0.656
NC_000913|NP_417204.1	NC_000913|NP_418030.1	0.471
NC_000913|NP_418311.1	NC_000913|NP_418731.2	0.136
NC_000913|NP_415156.1	NC_000913|NP_415510.1	0.379
NC_000913|NP_414776.1	NC_000913|NP_415895.1	2.017
NC_000913|NP_414562.1	NC_000913|NP_414798.1	1.596
NC_000913|NP_415344.1	NC_000913|NP_418386.1	2.075
NC_000913|NP_416331.1	NC_000913|NP_417602.4	0.352
NC_000913|NP_417269.1	NC_000913|NP_418776.1	0.602
NC_000913|NP_416986.4	NC_000913|NP_417211.1	2.274
NC_000913|NP_417516.3	NC_000913|NP_418692.2	1.123
NC_000913|NP_417418.1	NC_000913|NP_418455.1	0.725
NC_000913|NP_416613.1	NC_000913|NP_416839.1	0.314
NC_000913|NP_415921.2	NC_000913|NP_417516.3	1.123
NC_000913|NP_414681.1	NC_000913|NP_418737.1	1.62
NC_000913|NP_415132.1	NC_000913|NP_418380.4	0.515
NC_000913|NP_415219.1	NC_000913|NP_418539.1	0.975
NC_000913|NP_415090.2	NC_000913|NP_415679.1	0.47
NC_000913|NP_414563.1	NC_000913|YP_588445.1	0.835
NC_000913|NP_417613.1	NC_000913|NP_418737.1	2.265
NC_000913|NP_416747.1	NC_000913|NP_416808.1	1.915
NC_000913|NP_415463.2	NC_000913|NP_416021.1	0.17
NC_000913|NP_418325.3	NC_000913|NP_418326.2	0.069
NC_000913|NP_417358.2	NC_000913|NP_418111.1	1.512
NC_000913|NP_415247.1	NC_000913|NP_417515.1	0.356
NC_000913|NP_415063.4	NC_000913|NP_418735.2	0.268
NC_000913|NP_417362.4	NC_000913|NP_418030.1	0.539
NC_000913|NP_415096.1	NC_000913|NP_417972.1	0.662
NC_000913|NP_415234.1	NC_000913|NP_415977.1	2.394
NC_000913|NP_416333.4	NC_000913|NP_417609.1	0.57
NC_000913|YP_025298.1	NC_000913|YP_026227.1	0.109
NC_000913|NP_415064.1	NC_000913|NP_415459.1	0.62
NC_000913|NP_416021.1	NC_000913|NP_418735.2	0.176
NC_000913|NP_418341.1	NC_000913|NP_418342.2	0.617
NC_000913|NP_417342.1	NC_000913|NP_417357.1	1.13
NC_000913|NP_416332.1	NC_000913|NP_417608.1	0.245
NC_000913|NP_414665.1	NC_000913|NP_417489.1	0.819
NC_000913|NP_416329.4	NC_000913|NP_416681.1	0.882
NC_000913|NP_416808.1	NC_000913|NP_417870.1	1.965
NC_000913|YP_025297.1	NC_000913|YP_025298.1	0.215
NC_000913|NP_415234.1	NC_000913|NP_417941.1	2.38
NC_000913|NP_415680.1	NC_000913|NP_416631.1	1.062
NC_000913|NP_415098.1	NC_000913|NP_417973.1	0.415
NC_000913|NP_415895.1	NC_000913|NP_416719.1	2.037
NC_000913|NP_415502.4	NC_000913|NP_416565.1	0.656
NC_000913|NP_415505.1	NC_000913|NP_418452.1	0.722
NC_000913|NP_416021.1	NC_000913|NP_416836.1	0.087
NC_000913|NP_415462.1	NC_000913|NP_418738.1	0.117
NC_000913|NP_418716.1	NC_000913|YP_026217.1	1.321
NC_000913|NP_417596.1	NC_000913|NP_418146.4	1.453
